SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
5;5;Peygamberimizin Hayatı 5;2. PEYGAMBERİMİZİN ÇEVRESİNDEKİ ÇOCUKLAR;PH.5.2.3. Peygamberimizin yanında yetişen çocukların onu rehber edinmeleri konusunda sorgulamalar yapabilme;Video/Etkileşimli İçerik;"Hz. Muhammed'in çocuklarla olan etkileşimlerini ve onlara verdiği öğütleri anlatan video hazırlanır.
Hz. Peygamber'in yanında yetişen Hz. Ali, Hz. Zeynep, Hz. Üsame gibi çocukların hayat hikayelerini anlatan etkileşimli dijital hikaye hazırlanır.
Hz. Muhammed'in yanında yetişen çocukların hayatlarına dair önemli bilgileri, Peygamber'den aldıkları dersleri ve bu derslerin günümüzdeki önemini anlatan etkileşimli bilgi kartları hazırlanır.";;
6;5;Peygamberimizin Hayatı 5;3. REHBERİM PEYGAMBERİM;PH.5.3.1. Peygamberimizin temizliğe verdiği öneme dair akıl yürütebilme;Etkileşimli İçerik;Peygamberimizin temizlik anlayışını beden, çevre ve manevi temizlik olarak üç ana başlıkta ele alan, her başlık altında ilgili hadisleri ve açıklamaları içeren içerik hazırlanır.;;
7;5;Peygamberimizin Hayatı 5;3. REHBERİM PEYGAMBERİM;PH.5.3.2. Peygamberimizin yeme içme ve giyim kuşam adabına yönelik ilkeleri yapılan-dırabilme;Video/Etkileşimli İçerik;"Peygamberimizin yeme-içme ve giyim kuşam adabını anlatan, günümüzdeki uygulamalarına örnekler veren israfın önlenmesi, mütevazı yaşamın önemi, helal gıdaya dikkat edilmesi gibi konulara yer veren video hazırlanır.
Peygamberimizin hayatından kesitler sunan, yeme-içme ve giyim kuşam adabını vurgulayan etkileşimli bir hikâye hazırlanır.";;
8;5;Peygamberimizin Hayatı 5;4. AİLE HAYATINDA PEYGAMBERİMİZ;PH.5.4.1. Peygamberimizin aile hayatına dair akıl yürütebilme;Etkileşimli İçerik;"Peygamberimizin (s.a.v.) aile bireylerini, onların isimlerini, Peygamberimizle olan ilişkilerini ve kısaca hayat hikâyelerini gösteren etkileşimli bir aile ağacı hazırlanır.
Peygamberimizin aile bireyleri ve aile ilişkileri ile ilgili doldurulması gereken uygun boşlukların verildiği etkileşimli içerik hazırlanır.";;
1;6;Peygamberimizin Hayatı 6;1. GENÇLİK YILLARINDA PEYGAMBERİMİZ;PH.6.1.1. Peygamberimizin gençlik yıllarındaki ahlaki özelliklerini yorumlayabilme;Video/Etkileşimli İçerik;"H.z. Peygamber'in gençlik yıllarına ait önemli olayları göstermek için etkileşimli zaman çizelgesi hazırlanır.
Peygamberimizin ahlaki mirasının tüm insanlık üzerindeki etkileri ile ilgili içerik hazırlanır.
Peygamberimizin gençlik yıllarında sahip olduğu ahlaki özelliklerini düşünmeye sevk eden görseller ile desteklenmiş etkileşimli içerikler hazırlanır.";;
2;6;Peygamberimizin Hayatı 6;1. GENÇLİK YILLARINDA PEYGAMBERİMİZ;PH.6.1.2. Pegamberimizin Hira’daki tefekkür sürecini çözümleyebilme;Video/Etkileşimli İçerik;"Peygamberimizin Hira da tefekkürle geçirdiği günlere yönelik içerik hazırlanır.
Öğrencilerin Peygamberimizin gençlik yıllarını kronolojik bütünlük halinde özetleyebilmeleri ve Mekke, Medine yurduna ait bigileri ilişkilendirebilmeleri için sanal gezi uygulamaları hazırlanır.
Ünitede verilen kavramlara (emin, Hilfülfudul, risalet, tefekkür) ve isimlerden oluşan etkileşimli içerik hazırlanır.";;
3;6;Peygamberimizin Hayatı 6;2. PEYGAMBERİMİZİN ÇEVRESİNDEKİ GENÇLER;PH.6.2.1. Peygamberimizin gençlerle iletişiminde onlara verdiği değeri sentezleyebilme;Video/Etkileşimli İçerik;"Peygamberimizin gençlerle iletişiminde onlara verdiği değere yönelik içerik hazırlanır.
Peygamber ve gençler arasındaki iletişimi değer, bağlılık ve sevgi bağlamında ele alan video veya etkileşimli içerik hazırlanır.";;
4;6;Peygamberimizin Hayatı 6;2. PEYGAMBERİMİZİN ÇEVRESİNDEKİ GENÇLER;PH.6.2.2. Asrısaadet’teki gençlerin Peygamberimize duyduğu sevgiyi çözümleyebilme;Video/Etkileşimli İçerik;"Şehadet kavramına yönelik frayer tekniği uygulanarak etkileşimli içerik hazırlanır.
Asrısaadetteki gençlerin Peygamberimize duyduğu sevgi ve bağlılıkla ilgili olay ve durumlar ile ilgili içerik hazırlanır.";;
5;6;Peygamberimizin Hayatı 6;2. PEYGAMBERİMİZİN ÇEVRESİNDEKİ GENÇLER;"PH.6.2.3. Peygamberimizin yanında yetişen gençlerin onu rehber edinmeleri konusunda
sorgulamalar yapabilme";Video/Etkileşimli İçerik;"Peygamberimizin yanında yetişen gençlerin Hz. Peygamber'i rehber almaları hakkında 5N1K tekniği kullanılarak içerik hazırlanır.
Üniteye ilişkin kavramları pekiştirmelerine yönelik etkileşimli oyun hazırlanır.";;
6;6;Peygamberimizin Hayatı 6;3. REHBERİM PEYGAMBERİM;PH.6.3.1. Peygamberimizin Allah’a (cc) bağlılığı konusunu çözümleyebilme;Video/Etkileşimli İçerik;"Hz. Peygamberin hayatından örnek hadis ve Kuran-ı Kerimden örnek ayetler ile Peygamberimizin Allah'a olan bağlılığını anlatmaya yönelik içerik hazırlanır.
Peygamberimizin Allah'a  bağlılığı ile ilgili olay ve durumlar üzerine yorum ve çıkarımda bulunabilecek içerik hazırlanır.";;
7;6;Peygamberimizin Hayatı 6;3. REHBERİM PEYGAMBERİM;PH.6.3.3. Yüce Allah’a şükretmenin Peygamberimizin hayatındaki yerini yorumlayabilme;Video/Etkileşimli İçerik;"Şükür  için secde etmek, üzüntülü durumlarda da sabrederek hamt etmeye yönelik örnek hadislerden oluşan içerik hazırlanır.
Kulun namaz ve şükür ile Allah'a  bağlılığını içeren etkileşimli infografik hazırlanır.";;
8;6;Peygamberimizin Hayatı 6;4. TOPLUMSAL HAYATTA PEYGAMBERİMİZ;PH.6.4.1. Peygamberimizin toplumsal ilişkilerini sentezleyebilme;Video/Etkileşimli İçerik;"Sılayırahim, akraba, komşu, vefa ve çevre kavramlarına yönelik içerik hazırlanır.
Peygamberimizin toplumun her kesimine yönelik kurduğu ilişkiler örnek gösterilerek, konu ile ilgili ayet ve hadisler içeren video veya etkileşimli videolar hazırlanır.
Akraba  ve komşuların birbirine karşı sorumlulukları ile ilgili içerik hazırlanır.";;
9;6;Peygamberimizin Hayatı 6;4. TOPLUMSAL HAYATTA PEYGAMBERİMİZ;PH.6.4.2. Peygamberimizin çevreye karşı gösterdiği duyarlılığı çözümleyebilme;Video/Etkileşimli İçerik;Çevre bilincini oluşturan parçalardan doğanın ekolojik dengesinin korunması, çevrenin temiz tutulması, doğal kaynakların tasarruflu kullanılması, canlıların hayat hakkına saygı gösterilmesi ile ilgili içerik hazırlanır.;;
1;7;Peygamberimizin Hayatı 7;1. HİCRETTEN ÖNCE PEYGAMBERİMİZ;PH.7.1.1. Gizli ve açık davet arasındaki benzerlik ile farklılıkları karşılaştırabilme;Video/Etkileşimli İçerik;"Gizli ve açık davetin ne olduğunu açıklayan animasyonlu bir video hazırlanır.
Bu video, bu iki tür davetin tarihsel bağlamda nasıl gerçekleştiğini ve Hz. Muhammed’in (sav) davet yöntemlerini karşılaştırarak anlatır. Gizli ve açık davetlerin benzerliklerinin ve farklılıklarının sıralanıp görsel ile ilişkilendireceği etkileşimli bir zihin haritası hazırlanır.
Öğrencilerin gizli ve açık davet dönemlerini karşılaştırabileceği ve farklılıklarını analiz edebileceği etkileşimli bir tablo veya oyun hazırlanır.";;
2;7;Peygamberimizin Hayatı 7;1. HİCRETTEN ÖNCE PEYGAMBERİMİZ;PH.7.1.2. İsra ve miraç olaylarını yorumlayabilme;Video/Etkileşimli İçerik;"Hz. Muhammed’in (sav)  mucizevi yolculuğu İsra ve Miraç olaylarının adım adım anlatıldığı animasyonlu bir video hazırlanır.
İsra ve Miraç olaylarını, bu olayların manevi önemini ve Hz. Peygamber'in bu olaylar sırasında yaşadıklarını anlatan bir video hazırlanır.
Mescid-i Haram'dan Mescid-i Aksa'ya ve oradan semaya doğru yapılan yolculuğun deneyimleneceği sanal bir tur hazırlanır.
İsra ve Miraç hadisesinde  Hz. Peygamber’in (sav) geçtiği yerler ve bu yerlerdeki önemli olaylar hakkında bilgiler veren  etkileşimli bir  harita hazırlanır.";;
3;7;Peygamberimizin Hayatı 7;1. HİCRETTEN ÖNCE PEYGAMBERİMİZ;PH.7.1.3. Hicret’in sebeplerini özetleyebilme;Video/Etkileşimli İçerik;"İslam’ın ilk yıllarındaki zorlukları görsel olarak sunan ve  Hicret’in sebeplerini/sonuçlarını anlatan kısa bir animasyon video hazırlanır.
Hz. Peygamber ve Müslümanların Mekke'den Medine'ye hicret etme nedenlerini (zulüm, baskı, işkence, inanç özgürlüğünün olmaması), hicretin zorluklarını ve hicretin İslam tarihi açısından önemini anlatan bir video hazırlanır.
Hicret olayının sebeplerini farklı perspektiflerden tartışabilen, her bir sebep hakkında yorum yaparak, diğer öğrencilerin görüşlerini de görebileceği  etkileşimli bir tartışma panosu paneli hazırlanır.
Hicret’in  sebep ve sonuçlarının eşleştirileceği ,doğru eşleştirmelerde animasyonlu bir geri bildirim alan etkileşimli sebep sonuç tablosu hazırlanır.";;
4;7;Peygamberimizin Hayatı 7;2. PEYGAMBERİMİZİN MEKKELİ ARKADAŞLARI;PH.7.2.1. Peygamberimizin Mekkeli sahabilerle kurduğu iletişim konusunda sorgulamalar yapabilme;Video/Etkileşimli İçerik;"Hz. Peygamber'in sahabilerle kurduğu iletişim tarzları üzerine  farklı iletişim biçimlerini (örneğin, sözlü, davranışsal) vurgulayan  bir video hazırlanır.
Hz. Peygamber'in Mekkeli sahabelerle nasıl iletişim kurduğunu, onlara nasıl davrandığını, öğütlerini ve bu iletişimin İslam'ın yayılmasındaki etkisini anlatan bir video hazırlanır.
Sahabenin, Hz. Peygamber ile kurduğu iletişim tarzlarını öğrenebileceği, sahabenin özelliklerini,güçlü yönlerini ve iletişimdeki rollerini vurgulayan sahabe profilleri hazırlanır.
Öğrencilerin Hz. Peygamber'in iletişim yöntemlerini sorgulayabileceği ve günümüzde insanlarla iletişim kurarken nelere dikkat edilmesi gerektiği konusunda fikir edinebileceği etkileşimli içerik veya oyun hazırlanır.
Hz. Peygamber'in sahabileriyle ilişkilerini keşfedebileceği, videoda verilen soruları cevaplayabileceği etkileşimli soru cevap videosu hazırlanır.";;
5;7;Peygamberimizin Hayatı 7;2. PEYGAMBERİMİZİN MEKKELİ ARKADAŞLARI;PH.7.2.2. Mekkeli sahabilerin Hz. Peygamber’e olan bağlılıklarını yorumlayabilme;Video/Etkileşimli İçerik;"Hz. Peygamber’e Mekkeli sahabilerin bağlılıklarını anlatan bir animasyon video hazırlanır.
Sahabilerin bağlılıklarını test eden,bağlılık düzeyine göre hikayenin gidişatının değiştiği Bağlılık değerlendirme oyunu hazırlanır.
Hz. Peygamber'e ilk iman eden Mekkeli sahabelerin (Hz. Ebu Bekir, Hz. Hatice, Hz. Ali, Hz. Osman, Hz. Ömer vb.) hayatlarını, Hz. Peygamber'e olan sadakatlerini ve fedakarlıklarını anlatan bir video hazırlanır.
Öğrencilerin Mekkeli sahabelerin örnek davranışlarını inceleyebileceği ve yorumlayabileceği etkileşimli bir hikaye veya animasyon hazırlanır.";;
6;7;Peygamberimizin Hayatı 7;3. REHBERİM PEYGAMBERİM;PH.7.3.1. Peygamberimizin hayatındaki sabra dair örneklerle ilgili akıl yürütebilme;Video/Etkileşimli İçerik;"Hz. Peygamber’in hayatında sabırla ilgili önemli olayları anlatan animasyon video hazırlanır. Sabır gerektiren durumları içeren etkileşimli Sabır  çizelgesi hazırlanır.
Sabırla ilgili bir video hazırlanır, video üzerinden test sorularının çözüleceği bir etkili içerik oluşturulur.Hz. Peygamber'in hayatında karşılaştığı zorluklar karşısında gösterdiği sabrı, Taif yolculuğu, Bedir Savaşı, Uhud Savaşı gibi olaylar üzerinden anlatan bir video hazırlanır.
Öğrencilerin Hz. Peygamber'in sabrını örnek alarak zorluklar karşısında nasıl davranmaları gerektiği konusunda akıl yürütebilecekleri etkileşimli bir oyun veya simülasyon hazırlanır.";;
7;7;Peygamberimizin Hayatı 7;3. REHBERİM PEYGAMBERİM;PH.7.3.2. Hz. Peygamber’in hayatında infak ve sadakanın önemini yorumlayabilme;Video/Etkileşimli İçerik;"Hz. Peygamber’in infak ve sadaka ile ilgili hayatından önemli örneklerin anlatıldığı bir animasyon video hazırlanır.
Hz. Peygamber’in hayatındaki infak ve sadaka ile ilgili doğru bilgiye dayalı soruları yanıtlayacak etkileşimli içerik hazırlanır.
Öğrencilerin Hz. Peygamber'in örnek davranışlarından yola çıkarak infak ve sadakanın önemini yorumlayabileceği ve yardımlaşma konusunda farkındalık kazanabileceği etkileşimli bir hikaye veya animasyon hazırlanır.";;
8;7;Peygamberimizin Hayatı 7;4. İLİM HAYATINDA PEYGAMBERİMİZ;PH.7.4.1. Peygamberimizin ilme yönelik yaklaşımını sentezleyebilme;Video/Etkileşimli İçerik;"Hz. Peygamber’in ilme verdiği önemi çeşitli rollerle (örneğin bir sahabi ya da günümüz öğrencisi olarak) deneyimlenip eğitimle ilgili kararların alınabileceği similasyon hazırlanır.
Hz. Peygamber'in ilme verdiği önemi, ""İlim Çin'de de olsa gidin alınız"" hadisi gibi sözlerini, okuma yazma bilmeyenlere okuma yazma öğretmesini ve ilmi teşvik edici davranışlarını anlatan bir video hazırlanır.
Hz. Peygamber’in ilme yönelik bakış açısını açıklayan bir animasyon video hazırlanır.
Hz. Peygamber’in ilmî hayatı ve ona dair hadislerin derlendiği  tıklayarak detaylı bilgilerin edinildiği infografikler hazırlanır.";;
9;7;Peygamberimizin Hayatı 7;4. İLİM HAYATINDA PEYGAMBERİMİZ;PH.7.4.2. Sahabilerin ilme verdikleri önemi çözümleyebilme;Video/Etkileşimli İçerik;"Sahabilerin ilme olan ilgisini, bilgi edinmeye yönelik çabalarını ve diğer sahabilerin ilme katkılarını gösteren animasyon video hazırlanır.
Sahabilerin ilme olan bağlılıklarını ve katkılarını resim ve hikaye üzerinden anlatan etkileşimli bir etkileşimli içerik hazırlanır.
Sahabelerin Hz. Peygamber'den nasıl ilim öğrendiklerini, ilim öğrenmek için gösterdikleri çabayı, ilim yayma çalışmalarını ve İslam medeniyetinin doğuşuna katkılarını anlatan bir video hazırlanır.
Öğrencilerin sahabelerin ilme verdikleri önemi ve bu konudaki örnek davranışlarını inceleyebileceği ve günümüzde ilim öğrenmenin önemi konusunda farkındalık kazanabileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
1;8;Peygamberimizin Hayatı 8;1. HİCRET’TEN SONRA PEYGAMBERİMİZ;PH.8.1.1. İslam toplumunun oluşum sürecine dair sentezleme yapabilme;Video/Etkileşimli İçerik;"İslam toplumunun oluşum sürecini, Hz. Peygamber'in Medine'ye hicreti, ilk savaşlar ve anlaşmalar gibi olayları içeren video hazırlanır.
İslam'ın yayılma sürecini ve ilk müslüman toplulukların yerleşimlerini gösteren etkileşimli bir harita hazırlanır.
İslam toplumunun farklı aşamalarını ve önemli olaylarını anlatan infografik hazırlanır.
Öğrencilerin İslam toplumunun oluşum sürecini farklı kaynaklardan araştırarak ve bu süreci etkileyen faktörleri inceleyerek sentez yapabileceği etkileşimli bir zaman çizelgesi veya oyun hazırlanır";;
2;8;Peygamberimizin Hayatı 8;1. HİCRET’TEN SONRA PEYGAMBERİMİZ;PH.8.1.2. Peygamberimizin müşrik, münafık, Yahudi ve Hristiyanlarla kurduğu ilişkileri özetleyebilme;Video/Etkileşimli İçerik;"Peygamberimizin müşrik, münafık, Yahudi ve Hristiyanlarla ilişkilerini ve karşılıklı etkileşimleri anlatan  animasyon, video veya etkileşimli içerik hazırlanır.
Hz. Peygamber'in farklı inanç gruplarına (müşrikler, münafıklar, Yahudiler, Hristiyanlar) karşı nasıl bir tutum sergilediğini, onlarla olan ilişkilerini, antlaşmalarını ve bu ilişkilerin İslam toplumunun oluşumuna etkisini anlatan bir video hazırlanır.
Öğrencilerin bu ilişkileri inceleyebileceği ve farklı inanç gruplarına karşı hoşgörü ve adalet anlayışını öğrenebileceği etkileşimli bir hikaye veya animasyon hazırlanır.";;
3;8;Peygamberimizin Hayatı 8;1. HİCRET’TEN SONRA PEYGAMBERİMİZ;PH.8.1.3. Veda Hutbesi’nde öne çıkan konularla ilgili çıkarım yapabilme;Video/Etkileşimli İçerik;"Veda Hutbesi’nin ana temalarını anlatan animasyon veya video hazırlanır.
Veda Hutbesi'nde yer alan ana kavramları (eşitlik, adalet, haklar vs.) gösteren  etkileşimli kavram haritası hazırlanır.
Veda Hutbesi'nin içeriğini, önemini ve bu hutbede Hz. Peygamber'in verdiği mesajları (insan hakları, kadın hakları, eşitlik, adalet, barış vb.) anlatan bir video hazırlanır.
Öğrencilerin Veda Hutbesi'ni inceleyerek bu mesajlardan çıkarımlar yapabileceği ve günümüzde bu mesajların nasıl uygulanabileceği konusunda fikir üretebileceği etkileşimli içerik veya oyun hazırlanır.";;
4;8;Peygamberimizin Hayatı 8;2. PEYGAMBERİMİZİN MEDİNELİ ARKADAŞLARI;PH.8.2.1. Hz. Peygamber’in Medineli sahabilere verdiği değer hakkında bilgi toplayabilme;Video/Etkileşimli İçerik;"Hz. Peygamber’in sahabileriyle olan ilişkilerini, sahabilerin birbirlerine olan yardımlaşma ve sadakatini vurgulayan animasyon veya video hazırlanır.
Hz. Peygamber'in Medineli sahabelerle (Ensar) nasıl bir ilişki kurduğunu, onlara nasıl değer verdiğini, onların İslam'a katkılarını ve bu ilişkilerin İslam toplumunun güçlenmesindeki rolünü anlatan bir video hazırlanır.
Öğrencilerin Hz. Peygamber'in Medineli sahabelere verdiği değer ve gösterdiği sevgi hakkında bilgi edinebileceği etkileşimli içerik (bilgi kartları uygulaması vb.) hazırlanır.";;
5;8;Peygamberimizin Hayatı 8;2. PEYGAMBERİMİZİN MEDİNELİ ARKADAŞLARI;PH. 8.2.2. Medineli sahabilerin Hz. Peygamber’e olan bağlılığını yorumlayabilme;Video/Etkileşimli İçerik;"Medineli sahabileri tanıtan, Hz. Peygamber’e olan bağlılıklarını içeren içerik hazırlanır. Hz. Peygamber'i Medine'de karşılayan ve ona destek olan Medineli sahabelerin (Ensar)
hayatlarını, fedakarlıklarını, Hz. Peygamber'e olan sadakatlerini ve İslam'a katkılarını anlatan bir video hazırlanır.
Öğrencilerin Medineli sahabelerin örnek davranışlarını inceleyebileceği ve yorumlayabileceği etkileşimli bir hikaye veya animasyon hazırlanır.";;
6;8;Peygamberimizin Hayatı 8;3. REHBERİM PEYGAMBERİM;PH.8.3.1. Peygamberimizin hayatından hareketle azim ve kararlılığa dair akıl yürütebilme;Video/Etkileşimli İçerik;"Hz. Peygamber’in karşılaştığı zorluklara karşı gösterdiği azim ve kararlılığı yansıtan içerik hazırlanır.
Peygamberimizin azimle gerçekleştirdiği önemli olayları anlatan etkileşimli bir görsel hikaye hazırlanır.
Hz. Peygamber'in hayatında karşılaştığı zorluklara rağmen hedeflerinden vazgeçmeyişini, İslam'ı tebliğ etmedeki azmini ve kararlılığını anlatan bir video hazırlanır.
Öğrencilerin Hz. Peygamber'in hayatından örnekler üzerinden azim ve kararlılığın önemini anlayabileceği ve bu özellikleri kendi hayatlarına nasıl uygulayabilecekleri konusunda akıl yürütebilecekleri etkileşimli bir oyun veya simülasyon hazırlanır.";;
7;8;Peygamberimizin Hayatı 8;3. REHBERİM PEYGAMBERİM;PH.8.3.2. Peygamberimizin dua ibadetiyle ilgili tutum ve davranışlarını yansıtabilme;Video/Etkileşimli İçerik;"Peygamberimizin dua ile ilgili tutumlarının keşfedilmesine olanak sağlayan içerik hazırlanır.
Hz. Peygamber'in dua ibadetine verdiği önemi, farklı durumlarda yaptığı duaları, dualarının içeriğini ve dualarında kullandığı üslubu anlatan bir video hazırlanır.
Öğrencilerin Hz. Peygamber'in dualarını öğrenebileceği ve bu dualardan ilham alarak kendi dualarını yazabileceği etkileşimli bir uygulama veya animasyon hazırlanır.";;
8;8;Peygamberimizin Hayatı 8;3. REHBERİM PEYGAMBERİM;PH.8.3.3. Peygamberimizin hayatında tevekkülün önemine ilişkin örnekleri yapılandırabilme;Video/Etkileşimli İçerik;"Peygamberimizin tevekkülün örneklerini içeren içerik hazırlanır.
Hz. Peygamber'in Allah'a olan güvenini ve tevekkülünü, zorluklar karşısında nasıl tevekkül ettiğini, tevekkülün insan hayatındaki önemini anlatan bir video hazırlanır.
Öğrencilerin Hz. Peygamber'in hayatından örnekler üzerinden tevekkül kavramını anlayabileceği ve bu kavramı kendi hayatlarına nasıl uygulayabilecekleri konusunda fikir edinebileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
9;8;Peygamberimizin Hayatı 8;4.  ÇALIŞMA HAYATINDA PEYGAMBERİMİZ;PH.8.4.1. Peygamberimizin çalışma ahlakıyla ilgili bilgileri toplayabilme;Video/Etkileşimli İçerik;"Peygamberimizin ahlaki özelliklerini gösteren, kısa örneklerin olduğu etkileşimli infografik hazırlanır.
Hz. Peygamber'in çalışma hayatını, ticaret yaptığı dönemi, çalışma prensiplerini (dürüstlük, güvenilirlik, adalet, çalışkanlık vb.) ve çalışma ahlakı ile ilgili hadislerini anlatan bir video hazırlanır.
Öğrencilerin Hz. Peygamber'in çalışma ahlakı ile ilgili bilgi edinebileceği ve bu bilgileri farklı kaynaklardan araştırabileceği etkileşimli içerik (bilgi kartları uygulaması vb.) hazırlanır.";;
10;8;Peygamberimizin Hayatı 8;4.  ÇALIŞMA HAYATINDA PEYGAMBERİMİZ;PH.8.4.2. Peygamberimizin çalışma ahlakını yorumlayabilme;Video/Etkileşimli İçerik;"Peygamberimizin ahlaki özellikleri ile ilgili sorulardan oluşan etkileşimli içerik hazırlanır.
Hz. Peygamber'in çalışma ahlakının günümüz iş dünyasına nasıl yansıtılabileceğini, iş ahlakının önemini, çalışma hayatında dürüstlük, adalet, emek ve hak kavramlarını ele alan bir video hazırlanır.
Öğrencilerin Hz. Peygamber'in çalışma ahlakını yorumlayabileceği ve bu ahlakı kendi hayatlarına nasıl uygulayabilecekleri konusunda fikir edinebileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
1;9;Peygamberimizin Hayatı 9;1. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR ŞEHİR: MEKKE;PH.9.1.1. İslam’dan önce Mekke’de gerçekleşen önemli olayları çözümleyebilme;Video/Etkileşimli İçerik;"Hz. İsmail ve Hz. Hacer'in Mekke'ye gelişini, Kâbe'nin inşasını içeren video hazırlanır.
Mekke'nin coğrafi konumunu, Kâbe'nin yerini, önemli ticaret yollarını ve Fil Vakası'nın gerçekleştiği bölgeyi gösteren harita üzerinde noktalara tıklayarak o bölge hakkında bilgi alınabilen, fotoğraf veya video görüntülenebilen bir etkileşimli harita hazırlanır.";;
2;9;Peygamberimizin Hayatı 9;1. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR ŞEHİR: MEKKE;PH.9.1.2. Cahiliye anlayışını yorumlayabilme;Video/Etkileşimli İçerik;"Cahiliye dönemine ait Ficar Savaşları ve Hilfülfudul gibi önemli olayların yer aldığı, Hz. Peygamber'in Hilfülfudul'a verdiği önemi, bu topluluğun adalet ve hakkaniyet ilkelerine bağlılığını anlatan bir video hazırlanır.
Cahiliye dönemi ile ilgili olayların kronolojik sıralamasına uygun olarak olayların verildiği tıklandığında bilgilere erişildiği bir etkileşimli zaman çizelgesi hazırlanır.";;
3;9;Peygamberimizin Hayatı 9;1. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR ŞEHİR: MEKKE;PH.9.1.3. Hz. Peygamber’in çocukluk yılları konusunu yapılandırabilme;Video/Etkileşimli İçerik;"Hz. Peygamber’in çocukluk yılları ile ilgili önemli olayların anlatıldığı, görsellerle desteklenen bir video hazırlanır.
Hz. Peygamber'in doğumundan gençlik yıllarına kadar olan dönemi kapsayan önemli olaylara tıklayarak detaylı bilgi alınabilen, görsel ve kısa videoların görüntülenebildiği bir etkileşimli zaman çizelgesi hazırlanır.";;
4;9;Peygamberimizin Hayatı 9;1. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR ŞEHİR: MEKKE;PH.9.1.4. Hz. Peygamber’in risalet sonrasında Mekkelilerle kurduğu ilişkileri özetleyebilme;Video/Etkileşimli İçerik;"Hz. Peygamber’in risalet sonrasında Mekkelilerle kurduğu ilişkileri anlatan video hazırlanır.
Hicret yollarını, savaşların gerçekleştiği bölgeleri ve Mekke'nin fethini gösteren harita üzerinde noktalara tıklayarak o bölge hakkında bilgi alınabilen, fotoğraf veya videoların görüntülenebildiği etkileşimli harita hazırlanır.";;
5;9;Peygamberimizin Hayatı 9;2. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR ŞAHSİYET: HZ. HATİCE;PH.9.2.1. Hz. Hatice’nin Hz. Peygamber’le evlilik sürecini yapılandırabilme;Etkileşimli İçerik;"Hz. Hatice'nin hayatını ve Hz. Peygamber ile olan evliliğini kronolojik olarak gösteren, önemli olayların üzerine tıklanarak detaylı bilgi alınabilen, görsel veya kısa videoların görüntülenebildiği etkileşimli bir zaman çizelgesi hazırlanır.
Hz. Hatice’nin Hz. Peygamber’le evlilik sürecini yapılandırmaya yönelik etkileşimli içerik hazırlanır.";;
6;9;Peygamberimizin Hayatı 9;2. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR ŞAHSİYET: HZ. HATİCE;PH.9.2.2. Hz. Hatice’nin, Hz. Peygamber’in hayatındaki yeri hakkında sentezleme yapabilme;Video/Etkileşimli İçerik;"Hz. Hatice'nin hayatını, Hz. Peygamber ile olan ilişkisini ve İslam'ın yayılmasındaki rolünü, Hz. Hatice'nin güçlü karakterini, sadakatini ve fedakârlığını anlatan bir belgesel hazırlanır.
Hz. Hatice ve Hz. Peygamber'in hayatındaki önemli olayları, evliliklerini, Hira'daki ilk vahiy anını, Mekke'deki ambargoyu ve Hz. Hatice'nin vefatını içeren etkileşimli bir zaman çizelgesi hazırlanır.";;
7;9;Peygamberimizin Hayatı 9;3. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR HADİSE: HİCRET;PH.9.3.1. Medine’ye hicreti hazırlayan sebepler konusunda genelleme yapabilme;Video/Etkileşimli İçerik;"Hicretin sebepleri ve sonuçları üzerine tarihçilerin veya din alimlerinin görüşlerini içeren belgesel hazırlanır.
Hicretin sebepleri ve sonuçları ile ilgili çoktan seçmeli, doğru-yanlış veya eşleştirme soruları içeren etkileşimli içerik hazırlanır.";;
8;9;Peygamberimizin Hayatı 9;3. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR HADİSE: HİCRET;PH.9.3.2. Akabe Biatlerini karşılaştırabilme;Video/Etkileşimli İçerik;"Birinci ve İkinci Akabe Biatları'nın benzerlik ve farklılıklarını karşılaştıran bir video hazırlanır. Hicret güzergahı ile ilgili video hazırlanır.
Birinci ve İkinci Akabe Biatlarının benzerlik ve farklılıklarını gösteren etkileşimli bir Venn diyagramı hazırlanır.";;
